date,season_1,season_2,season_3,season_4,holiday,workingday,weather_1,weather_2,weather_3,temperature,humidity,windspeed,count
2011-01-01 00:00:00,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.344167,0.805833,0.160446,985
2011-01-02 00:00:00,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.363478,0.696087,0.24853899999999998,801
2011-01-03 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.196364,0.43727299999999997,0.248309,1349
2011-01-04 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.2,0.590435,0.160296,1562
2011-01-05 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.22695700000000002,0.436957,0.1869,1600
2011-01-06 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.204348,0.518261,0.0895652,1606
2011-01-07 00:00:00,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,0.196522,0.49869600000000003,0.168726,1510
2011-01-08 00:00:00,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.165,0.535833,0.266804,959
2011-01-09 00:00:00,1.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.13833299999999998,0.434167,0.36195,822
2011-01-10 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.150833,0.482917,0.22326700000000002,1321
2011-01-11 00:00:00,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,0.16909100000000002,0.6863640000000001,0.12213199999999999,1263
2011-01-12 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.172727,0.599545,0.304627,1162
2011-01-13 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.165,8.695569312786679,0.301,1406
2011-01-14 00:00:00,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.16087,0.537826,0.126548,1421
2011-01-15 00:00:00,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.23333299999999998,0.49875,0.15796300000000002,1248
2011-01-16 00:00:00,1.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.231667,0.48375,0.188433,1204
2011-01-17 00:00:00,1.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,0.175833,0.5375,0.194017,1000
2011-01-18 00:00:00,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,0.216667,0.861667,0.146775,683
2011-01-19 00:00:00,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,0.292174,0.741739,0.208317,1650
